date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:55:35	16278/16278	---M--	200	added ('OK')	image/jpeg	date:Fri,%2028%20Jun%202019%2004:18:29%20GMT	https://smkm1surabaya.sch.id/wp-content/uploads/2019/06/smkm1500px-1-300x300.jpg	C:/My%20Web%20Sites/TUGAS%201/smkm1surabaya.sch.id/wp-content/uploads/2019/06/smkm1500px-1-300x300.jpg	(from https://smkm1surabaya.sch.id/)
09:55:36	8041/8041	---M--	200	added ('OK')	image/jpeg	date:Fri,%2028%20Jun%202019%2004:18:29%20GMT	https://smkm1surabaya.sch.id/wp-content/uploads/2019/06/smkm1500px-1-180x180.jpg	C:/My%20Web%20Sites/TUGAS%201/smkm1surabaya.sch.id/wp-content/uploads/2019/06/smkm1500px-1-180x180.jpg	(from https://smkm1surabaya.sch.id/)
09:55:36	30515/30515	---M--	200	added ('OK')	image/png	date:Tue,%2006%20Jul%202021%2002:58:40%20GMT	https://smkm1surabaya.sch.id/wp-content/uploads/2021/07/Logo-Berdua-uda-fix-dikecilin-lagi-1000x500-1-1-768x384.png	C:/My%20Web%20Sites/TUGAS%201/smkm1surabaya.sch.id/wp-content/uploads/2021/07/Logo-Berdua-uda-fix-dikecilin-lagi-1000x500-1-1-768x384.png	(from https://smkm1surabaya.sch.id/)
09:55:36	51555/51555	---M--	200	added ('OK')	image/jpeg	date:Fri,%2002%20Jul%202021%2003:34:35%20GMT	https://smkm1surabaya.sch.id/wp-content/uploads/elementor/thumbs/WhatsApp-Image-2017-11-19-at-17.51.23-ni1i5q177eqadpwt3r193qwj63n1ceflnag2cnpqy4.jpeg	C:/My%20Web%20Sites/TUGAS%201/smkm1surabaya.sch.id/wp-content/uploads/elementor/thumbs/WhatsApp-Image-2017-11-19-at-17.51.23-ni1i5q177eqadpwt3r193qwj63n1ceflnag2cnpqy4.jpg	(from https://smkm1surabaya.sch.id/)
09:55:36	20568/20568	---M--	200	added ('OK')	image/jpeg	date:Fri,%2002%20Jul%202021%2003:52:02%20GMT	https://smkm1surabaya.sch.id/wp-content/uploads/elementor/thumbs/BAL_8823-scaled-p9i9ixqywztuw9njxryo3cgpv6wgeeb81aw2ffr8oo.jpg	C:/My%20Web%20Sites/TUGAS%201/smkm1surabaya.sch.id/wp-content/uploads/elementor/thumbs/BAL_8823-scaled-p9i9ixqywztuw9njxryo3cgpv6wgeeb81aw2ffr8oo.jpg	(from https://smkm1surabaya.sch.id/)
09:55:36	22552/22552	---M--	200	added ('OK')	image/jpeg	date:Fri,%2002%20Jul%202021%2003:53:52%20GMT	https://smkm1surabaya.sch.id/wp-content/uploads/elementor/thumbs/BAL_8986-scaled-p9i9mp3q94z5c46xzegy2eb3eodb6t8kjwtzja6jso.jpg	C:/My%20Web%20Sites/TUGAS%201/smkm1surabaya.sch.id/wp-content/uploads/elementor/thumbs/BAL_8986-scaled-p9i9mp3q94z5c46xzegy2eb3eodb6t8kjwtzja6jso.jpg	(from https://smkm1surabaya.sch.id/)
09:55:37	89124/89124	---M--	200	added ('OK')	image/jpeg	date:Tue,%2006%20Jul%202021%2005:30:46%20GMT	https://smkm1surabaya.sch.id/wp-content/uploads/2021/07/Bu-Reny-1030x1030.jpg	C:/My%20Web%20Sites/TUGAS%201/smkm1surabaya.sch.id/wp-content/uploads/2021/07/Bu-Reny-1030x1030.jpg	(from https://smkm1surabaya.sch.id/)
09:55:37	130857/130857	---MCZ	200	added ('OK')	text/html	date:Sat,%2023%20Oct%202021%2007:26:38%20GMT	https://smkm1surabaya.sch.id/data-alumni-smk-muhammadiyah-1-surabaya/	C:/My%20Web%20Sites/TUGAS%201/smkm1surabaya.sch.id/data-alumni-smk-muhammadiyah-1-surabaya/index.html	(from https://smkm1surabaya.sch.id/)
09:55:38	67171/67171	---M--	200	added ('OK')	image/png	date:Mon,%2005%20Jul%202021%2003:26:11%20GMT	https://smkm1surabaya.sch.id/wp-content/uploads/2021/07/unesa500px.png	C:/My%20Web%20Sites/TUGAS%201/smkm1surabaya.sch.id/wp-content/uploads/2021/07/unesa500px.png	(from https://smkm1surabaya.sch.id/)
09:55:39	95185/95185	---M--	200	added ('OK')	image/png	date:Mon,%2005%20Jul%202021%2005:14:35%20GMT	https://smkm1surabaya.sch.id/wp-content/uploads/2021/07/its500px2.png	C:/My%20Web%20Sites/TUGAS%201/smkm1surabaya.sch.id/wp-content/uploads/2021/07/its500px2.png	(from https://smkm1surabaya.sch.id/)
09:55:39	43923/43923	---M--	200	added ('OK')	image/jpeg	date:Fri,%2028%20Jun%202019%2003:38:48%20GMT	https://smkm1surabaya.sch.id/wp-content/uploads/2019/06/STI-500px.jpg	C:/My%20Web%20Sites/TUGAS%201/smkm1surabaya.sch.id/wp-content/uploads/2019/06/STI-500px.jpg	(from https://smkm1surabaya.sch.id/)
09:55:39	76176/76176	---MCZ	200	added ('OK')	text/html	date:Sat,%2023%20Oct%202021%2012:14:52%20GMT	https://smkm1surabaya.sch.id/smk-mutu-surabaya-lakukan-workshop-sinkronisasi-kurikulum-dengan-iduka/	C:/My%20Web%20Sites/TUGAS%201/smkm1surabaya.sch.id/smk-mutu-surabaya-lakukan-workshop-sinkronisasi-kurikulum-dengan-iduka/index.html	(from https://smkm1surabaya.sch.id/)
09:55:39	79239/79239	---M--	200	added ('OK')	image/png	date:Mon,%2005%20Jul%202021%2003:28:01%20GMT	https://smkm1surabaya.sch.id/wp-content/uploads/2021/07/umsby500px.png	C:/My%20Web%20Sites/TUGAS%201/smkm1surabaya.sch.id/wp-content/uploads/2021/07/umsby500px.png	(from https://smkm1surabaya.sch.id/)
09:55:39	60467/60467	---MC-	404	error ('Not%20Found')	text/html	date:Sun,%2024%20Oct%202021%2002:55:36%20GMT	https://smkm1surabaya.sch.id/tkj-samsung-tech-insitute/	C:/My%20Web%20Sites/TUGAS%201/smkm1surabaya.sch.id/tkj-samsung-tech-insitute/index.html	(from https://smkm1surabaya.sch.id/)
09:55:39	79148/79148	---MCZ	200	added ('OK')	text/html	date:Sun,%2024%20Oct%202021%2001:30:12%20GMT	https://smkm1surabaya.sch.id/door-county-wisconsin-schoner-urlaub-fur-weinliebhaber-paare-im-innerhalb-innerhalb-innerhalb-wahrend-fur-in-in-das-aus-dem-wenn-sie-den-mittleren-westen-betrachten/	C:/My%20Web%20Sites/TUGAS%201/smkm1surabaya.sch.id/door-county-wisconsin-schoner-urlaub-fur-weinliebhaber-paare-im-innerhalb-innerhalb-innerhalb-wahrend-fur-in-in-das-aus-dem-wenn-sie-den-mittleren-westen-betrachten/index.html	(from https://smkm1surabaya.sch.id/)
09:55:40	81837/81837	---M--	200	added ('OK')	image/png	date:Thu,%2029%20Jul%202021%2003:23:51%20GMT	https://smkm1surabaya.sch.id/wp-content/uploads/2021/07/itats.png	C:/My%20Web%20Sites/TUGAS%201/smkm1surabaya.sch.id/wp-content/uploads/2021/07/itats.png	(from https://smkm1surabaya.sch.id/)
09:55:40	46242/46242	---M--	200	added ('OK')	image/png	date:Mon,%2005%20Jul%202021%2003:37:09%20GMT	https://smkm1surabaya.sch.id/wp-content/uploads/2021/07/bukopinsyariah500px.png	C:/My%20Web%20Sites/TUGAS%201/smkm1surabaya.sch.id/wp-content/uploads/2021/07/bukopinsyariah500px.png	(from https://smkm1surabaya.sch.id/)
09:55:40	71154/71154	---M--	200	added ('OK')	image/png	date:Mon,%2005%20Jul%202021%2003:49:25%20GMT	https://smkm1surabaya.sch.id/wp-content/uploads/2021/07/banksyariah500px.png	C:/My%20Web%20Sites/TUGAS%201/smkm1surabaya.sch.id/wp-content/uploads/2021/07/banksyariah500px.png	(from https://smkm1surabaya.sch.id/)
09:55:40	48694/48694	---M--	200	added ('OK')	image/png	date:Mon,%2005%20Jul%202021%2003:33:01%20GMT	https://smkm1surabaya.sch.id/wp-content/uploads/2021/07/bankjatimsyariah500px.png	C:/My%20Web%20Sites/TUGAS%201/smkm1surabaya.sch.id/wp-content/uploads/2021/07/bankjatimsyariah500px.png	(from https://smkm1surabaya.sch.id/)
09:55:40	66528/66528	---M--	200	added ('OK')	image/jpeg	date:Fri,%2028%20Jun%202019%2004:24:20%20GMT	https://smkm1surabaya.sch.id/wp-content/uploads/2019/06/samsung500px.jpg	C:/My%20Web%20Sites/TUGAS%201/smkm1surabaya.sch.id/wp-content/uploads/2019/06/samsung500px.jpg	(from https://smkm1surabaya.sch.id/)
09:55:41	54847/54847	---M--	200	added ('OK')	image/jpeg	date:Fri,%2028%20Jun%202019%2003:38:30%20GMT	https://smkm1surabaya.sch.id/wp-content/uploads/2019/06/smk-500px.jpg	C:/My%20Web%20Sites/TUGAS%201/smkm1surabaya.sch.id/wp-content/uploads/2019/06/smk-500px.jpg	(from https://smkm1surabaya.sch.id/)
